hex_Res7,total_sales,med_price,med_price_sf,current_pop,pop_change,median_income
8744c10e6ffffff,8,388350,135.5946818,1088,5.19,58798
8744c10e8ffffff,18,335000,156.5486738,2202,-0.1,77397
8744c10e9ffffff,4,348000,183.7447933,4038,1.08,83787
8744c10eaffffff,11,385000,135.7789424,3508,-0.41,103529
8744c10ebffffff,12,381125,187.1146737,3245,-0.29,102075
8744c10ecffffff,18,364000,136.1857397,4771,-0.55,120492
8744c10edffffff,1,430000,114.4834931,1480,-0.35,113926
8744c10eeffffff,12,364500,170.1683,3884,-0.36,89462
8744c10f1ffffff,11,318000,140.2739726,3547,0.15,71537
8744c10f3ffffff,9,332500,138.4499624,2924,-0.4,98160
8744c10f5ffffff,4,333145,193.6453235,695,0.99,65862
8744c1141ffffff,3,330500,173.6755952,,,
8744c1142ffffff,1,507000,134.5541401,,,
8744c1143ffffff,5,190000,121.4196762,,,
8744c1144ffffff,3,262500,119.9725777,,,
8744c1145ffffff,5,275000,149.9759268,,,
8744c1148ffffff,20,279750,129.5099062,,,
8744c1149ffffff,13,235000,103.1190325,,,
8744c114affffff,31,209000,131.1004785,,,
8744c114bffffff,12,148750,103.5844692,,,
8744c114cffffff,5,210000,129.2207792,,,
8744c114dffffff,15,256000,117.7194861,,,
8744c114effffff,20,236950,128.3596281,,,
8744c1158ffffff,23,281850,158.1632653,,,
8744c1159ffffff,22,257000,128.0001334,,,
8744c115affffff,20,255500,131.8102495,,,
8744c115bffffff,9,240000,127.4154589,,,
8744c115cffffff,5,300000,115.8748552,,,
8744c115dffffff,16,231585,114.2240472,,,
8744c115effffff,7,390000,115.727003,,,
8744c1160ffffff,25,228000,161.0169492,,,
8744c1161ffffff,25,245000,134.4086022,,,
8744c1162ffffff,9,205000,141.3978495,,,
8744c1163ffffff,22,257500,157.0555637,,,
8744c1164ffffff,4,165450,121.5350764,,,
8744c1165ffffff,31,206225,118.5770751,,,
8744c1166ffffff,1,223000,162.5364431,,,
8744c1168ffffff,4,184950,165.2154935,,,
8744c1169ffffff,9,79000,80.6122449,,,
8744c116affffff,3,330000,135.9703337,,,
8744c116bffffff,13,315000,138.1529145,,,
8744c116cffffff,11,235000,139.9642644,,,
8744c116dffffff,1,220000,223.3502538,,,
8744c116effffff,2,218750,160.0985572,,,
8744c1200ffffff,33,550000,257.5342466,4780,-0.55,162921
8744c1201ffffff,29,569000,255,3568,1.54,97080
8744c1202ffffff,36,662500,240.9033069,6934,-0.42,164590
8744c1203ffffff,6,1120000,286.1748781,2522,-0.27,161675
8744c1204ffffff,28,622500,233.7679316,6157,0,113056
8744c1205ffffff,17,412500,231.8355641,5223,-0.43,98502
8744c1206ffffff,32,761250,208.3630184,5356,-0.47,157638
8744c1208ffffff,24,820000,310.7378689,5742,-0.58,183695
8744c1209ffffff,9,1172000,315.8878505,1773,0.72,249353
8744c120affffff,46,817500,335.6494306,5654,-0.32,173941
8744c120bffffff,6,2042500,316.1799189,1811,-0.32,255171
8744c120cffffff,15,519900,256.5993789,3763,0.45,156791
8744c120dffffff,20,741500,266.5817438,4697,-0.42,171652
8744c120effffff,39,715000,326.5419315,3950,1.87,147681
8744c1210ffffff,15,865000,206.6185117,1568,-0.15,205091
8744c1211ffffff,27,825000,253.2427424,7688,-0.56,175372
8744c1212ffffff,27,810000,264.532985,5122,0.17,184886
8744c1213ffffff,37,530000,240.1508429,8237,-0.52,156164
8744c1214ffffff,22,716232.5,270.9525153,3368,1.41,180617
8744c1215ffffff,11,1259100,244.8797863,3621,-1.01,181126
8744c1216ffffff,14,744750,258.3813223,3760,-0.1,166374
8744c1218ffffff,15,628000,257.7996716,4206,0.16,121385
8744c1219ffffff,19,330000,242.0520231,4657,-0.25,125170
8744c121affffff,13,1082000,274.7587608,3450,-0.37,225457
8744c121bffffff,14,407500,243.6053593,5995,0.24,82035
8744c121cffffff,21,400000,236.9668246,4842,-0.9,186090
8744c121dffffff,44,1083500,411.7992411,6222,0.6,127946
8744c121effffff,23,920000,249.5238095,7759,-0.9,158713
8744c1220ffffff,13,1135000,250.6775068,1784,-0.88,247904
8744c1221ffffff,29,244000,180.9090909,8652,-0.82,82273
8744c1222ffffff,14,1092500,215.7723975,3776,-0.35,166446
8744c1223ffffff,35,540000,230.5555556,4762,-0.72,152525
8744c1224ffffff,20,884000,256.6270991,5251,-0.2,218947
8744c1225ffffff,24,390000,234.305924,7769,-0.53,72099
8744c1226ffffff,17,730000,237.398374,3636,-0.54,234230
8744c1228ffffff,35,550000,304.8780488,4167,0.4,122816
8744c1229ffffff,26,587500,265.0743917,3415,-0.94,135536
8744c122affffff,15,445000,258.2248986,6183,-0.57,82378
8744c122bffffff,19,745000,288.9492754,3961,0.42,158779
8744c122cffffff,35,560000,320.5645161,4824,-0.3,111386
8744c122dffffff,17,730000,287.8787879,4495,0.04,172981
8744c122effffff,14,576250,255.853343,8503,-0.47,90691
8744c1230ffffff,15,625000,200.7507556,3109,-0.57,136324
8744c1231ffffff,49,445000,263.1925837,6195,1.77,111313
8744c1232ffffff,17,545000,256.8270481,4494,-0.67,162567
8744c1233ffffff,16,750650,208.7534124,3474,-0.85,173915
8744c1234ffffff,16,746250,196.8004063,9076,0,68425
8744c1235ffffff,21,820000,221.6896345,3606,-0.93,170675
8744c1236ffffff,38,340000,184.9568434,6529,0.04,78441
8744c1240ffffff,3,910000,247.9108635,1044,0.87,105373
8744c1241ffffff,10,650000,190.0029231,1770,1.23,115583
8744c1242ffffff,2,475762.5,259.3818104,1715,1.04,126178
8744c1243ffffff,17,582500,197.0278044,1155,1.43,151283
8744c1244ffffff,3,493000,200.9400705,1040,0.51,136598
8744c1245ffffff,6,629000,217.4732039,1518,0.64,138839
8744c1246ffffff,3,499000,247.816047,2174,0.97,113143
8744c1248ffffff,15,430000,218.2410423,3298,1.79,131613
8744c1249ffffff,3,460000,205.2610602,505,0.63,101810
8744c124affffff,3,618500,259.5155709,535,3.06,117904
8744c124bffffff,2,427500,182.4772819,787,1.07,115655
8744c124cffffff,35,573000,200.2796225,3540,1.95,123628
8744c124dffffff,7,560000,190.192484,3568,1.39,130824
8744c124effffff,18,565000,194.639759,3663,2.02,143087
8744c1250ffffff,8,1450000,306.6468936,951,0.46,225732
8744c1252ffffff,1,1790000,253.5051692,860,0.25,236669
8744c1253ffffff,5,1675000,377.3113872,1143,0.42,230766
8744c1254ffffff,6,1610000,290.8507958,1131,0.23,271616
8744c1255ffffff,5,838900,236.1489303,972,1.24,100704
8744c1256ffffff,8,2337750,359.855801,1793,-0.04,238991
8744c1258ffffff,7,540000,227.2727273,392,1.92,132967
8744c1259ffffff,15,700000,243.1664892,1545,3.24,117621
8744c125affffff,8,589000,258.7481226,696,1.91,140641
8744c125bffffff,8,458000,178.9296637,2024,0.7,123304
8744c125cffffff,2,1173850,234.6172746,1136,0.95,159310
8744c125dffffff,4,620000,190.0362066,661,3.42,117395
8744c125effffff,3,1600000,407.6106195,608,1.81,133094
8744c1260ffffff,31,455500,236.0684511,4968,0.29,111533
8744c1261ffffff,10,460000,230.5716072,4120,1.38,115457
8744c1262ffffff,13,765000,214.4315861,2633,0.73,117280
8744c1263ffffff,9,750000,242.2641552,1339,1.08,129437
8744c1264ffffff,16,605000,229.3433378,4024,0.97,145380
8744c1265ffffff,35,460000,221.1241135,5265,0.98,116153
8744c1266ffffff,13,365000,194.6419756,2813,0.91,122246
8744c1268ffffff,4,369900,153.2792736,2559,0.46,114078
8744c1269ffffff,9,385000,237.5979112,2525,0.89,72460
8744c126affffff,9,699000,169.6471725,2431,0.82,142119
8744c126bffffff,11,365000,203.8073908,4108,1.4,107314
8744c126cffffff,11,444000,221.5450854,3044,0.58,103384
8744c126dffffff,22,397500,207.9202111,6139,2.04,90560
8744c126effffff,7,442000,230.1136364,1896,0.5,107730
8744c1270ffffff,10,1108500,273.0173937,1312,0.14,233090
8744c1271ffffff,11,1725000,350.660066,1504,0.63,247270
8744c1272ffffff,13,1050000,293.7233394,3630,0.17,219944
8744c1273ffffff,4,1112500,341.997264,599,2.66,241682
8744c1274ffffff,27,570000,241.1732456,3792,-0.45,174019
8744c1275ffffff,16,716500,260.1121852,2840,-1.01,213177
8744c1276ffffff,16,719000,276.703459,4316,-0.55,158557
8744c1280ffffff,12,855450,237.5843384,1300,1.23,173757
8744c1281ffffff,11,660000,222.0726783,4262,1.29,178092
8744c1282ffffff,22,1133000,217.3602195,3084,1.05,199302
8744c1283ffffff,15,850000,260.0641254,4036,1.49,169687
8744c1284ffffff,12,637500,259.6491022,2646,0.28,179252
8744c1285ffffff,22,995000,230.9293969,5622,1.12,188042
8744c1286ffffff,13,725000,227.0438389,4772,0.7,157733
8744c1288ffffff,18,820000,233.9956025,5122,1.7,181324
8744c1289ffffff,17,595000,245.4710145,3193,1.22,168193
8744c128affffff,19,643000,232.4561404,5324,1.38,156100
8744c128bffffff,13,647500,221.7465753,6492,1.36,178264
8744c128cffffff,17,950000,234.375,5207,1.25,201074
8744c128dffffff,12,722000,249.5075509,4136,1.47,178046
8744c128effffff,9,685000,258.9641434,3881,1.57,173701
8744c1290ffffff,9,629000,233.1623932,2873,0.57,112764
8744c1291ffffff,19,590000,236.9260987,3884,1.03,117036
8744c1292ffffff,18,654500,210.3832698,5194,0.01,169841
8744c1293ffffff,10,690000,223.7358186,3958,1.53,127755
8744c1294ffffff,9,497000,220.3014184,3374,3.78,126958
8744c1295ffffff,32,522500,236.1135875,7165,1.31,107955
8744c1296ffffff,13,530000,163.2119334,3038,0.03,131653
8744c1298ffffff,22,655000,228.6324242,4720,0.28,154421
8744c1299ffffff,12,994000,211.820085,2218,1.15,204735
8744c129affffff,29,445000,202.5,5170,0.55,104839
8744c129bffffff,6,355000,192.3347267,1643,-0.26,129564
8744c129cffffff,16,640000,212.4245671,4125,0.07,132347
8744c129dffffff,8,886250,204.1386379,3261,1.19,201121
8744c129effffff,13,645000,241.0199312,4860,1.25,118039
8744c12a0ffffff,36,461600,231.2680834,6381,0.12,105350
8744c12a1ffffff,29,650000,255.8012059,4005,-0.65,161807
8744c12a2ffffff,31,507500,224.537037,5835,1.96,119283
8744c12a3ffffff,12,940425,257.7477193,1582,0.19,222961
8744c12a4ffffff,24,390000,209.0872423,8568,0.14,78209
8744c12a5ffffff,19,1000000,235.9375,3782,-0.59,90001
8744c12a6ffffff,28,525000,207.4492214,4743,1.46,99939
8744c12a8ffffff,30,650000,256.8134172,5398,0.1,204586
8744c12a9ffffff,22,814750,251.0849725,5546,-0.45,207816
8744c12aaffffff,10,747255.5,217.8812724,1614,1.44,155614
8744c12abffffff,33,655000,264.1132075,5316,1.24,167938
8744c12acffffff,29,670000,249.4612069,6660,-0.45,171428
8744c12adffffff,27,556000,251.3695311,7960,-0.65,170306
8744c12aeffffff,12,852000,263.2400104,5850,1.04,152675
8744c12b0ffffff,14,609500,184.0817228,5312,2.32,106125
8744c12b1ffffff,27,510000,210.3535354,4031,1.85,131339
8744c12b2ffffff,3,558500,172.9740061,1265,2.02,101393
8744c12b3ffffff,17,477000,231.7708333,3256,1.86,75145
8744c12b4ffffff,8,1402500,214.0644027,5571,3.5,74533
8744c12b5ffffff,15,735000,223.9237215,4234,0.75,154653
8744c12b6ffffff,13,392000,192.5064599,6989,1,98916
8744c12c0ffffff,4,859500,225.4445619,3166,1.97,158887
8744c12c1ffffff,20,731500,255.6472102,2244,1.37,151373
8744c12c2ffffff,32,884950,301.6188269,3452,1.69,173308
8744c12c3ffffff,12,732500,252.4960569,2796,1.62,186968
8744c12c4ffffff,8,803214,140.1547948,1376,2.09,172417
8744c12c5ffffff,11,2050000,271,1612,0.64,246514
8744c12c6ffffff,15,579000,225.1552795,2694,2.83,160697
8744c12c8ffffff,2,714500,292.6314929,483,1.17,121971
8744c12c9ffffff,1,1015000,168.8851913,486,1.28,119916
8744c12caffffff,4,595000,271.6713446,911,1.3,112252
8744c12cbffffff,4,982000,256.592991,295,1,158379
8744c12ccffffff,3,850000,201.4116461,775,1.21,137155
8744c12cdffffff,2,972500,149.239396,516,1.61,136659
8744c12ceffffff,11,705000,217.5990218,1242,1.33,104285
8744c12d0ffffff,23,475000,235.3815659,6652,1.42,123114
8744c12d1ffffff,19,950000,218.0327869,3437,1.14,171064
8744c12d2ffffff,10,435050,202.5274663,6088,1.58,109966
8744c12d3ffffff,8,613750,235.6261755,2421,1.25,151862
8744c12d4ffffff,15,570500,219.9301809,3199,1.57,120918
8744c12d5ffffff,16,959500,270.5199261,4063,2.38,158919
8744c12d6ffffff,9,705000,268.6415094,3806,2.15,161991
8744c12d8ffffff,9,525000,197.5308642,4391,2.23,148706
8744c12d9ffffff,11,699900,232.7902065,2584,2.62,135983
8744c12daffffff,16,541250,232.1856502,3583,2.76,142907
8744c12dbffffff,4,552500,248.5092703,1069,3.01,136970
8744c12dcffffff,20,807500,216.664515,4241,2.16,192561
8744c12ddffffff,15,589000,243.902439,5865,1.27,151664
8744c12deffffff,12,635000,235.1192926,4762,1.98,151149
8744c12e0ffffff,6,1372500,295.6219617,1525,0.33,224538
8744c12e1ffffff,11,2025000,300,1204,-0.59,218834
8744c12e2ffffff,34,850000,215.8098933,3062,0.22,215873
8744c12e3ffffff,9,1290500,248.6381323,1775,0.56,259056
8744c12e4ffffff,6,565000,241.687778,1811,-1.01,214180
8744c12e5ffffff,2,1637500,621.6441943,880,-0.46,231438
8744c12e6ffffff,37,475000,281.0542677,7329,-0.07,118407
8744c12e8ffffff,7,1593000,288.7968614,797,0.42,227708
8744c12e9ffffff,3,845000,124.7600768,230,1.68,156367
8744c12eaffffff,3,1675000,752.1329142,935,0.94,176016
8744c12ebffffff,1,580000,287.4132805,314,1.42,161790
8744c12ecffffff,5,1408850,243.1165783,1269,0.2,233561
8744c12edffffff,5,1425000,332.2916667,664,0.89,202589
8744c12eeffffff,3,795000,288.5439081,1706,0.44,213730
