Survey,State,6-Digit,County,Census Place,FIPS Place,FIPS MCD,Pop,CSA,CBSA,Footnote,Central,Zip,Region,Division,Source,Place,,1-unit,,,2-units,,,3-4 units,,,5+ units,
Date,Code,ID,Code,Code,Code,Code,  ,Code,Code,Code,City,Code,Code,Code,Code,Name,Bldgs,Units,Value,Bldgs,Units,Value,Bldgs,Units,Value,Bldgs,Units,Value
 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,
202506,1,88000,97,365,14392,0,5659,380,33660, , ,36611,3,6,5,Chickasaw,0,0,0,0,0,0,0,0,0,0,0,0
202506,1,89000,121,370,14464,0,4781,142,45180, , ,350440369,3,6,5,Childersburg,0,0,0,0,0,0,0,0,0,0,0,0
202506,1,92000,97,375,15064,0,3873,380,33660, , ,36522,3,6,3,Citronelle,0,0,0,2,4,160000,0,0,0,0,0,0
202506,1,93000,21,380,15136,0,8764,142,13820, , ,350460580,3,6,3,Clanton,4,4,670000,0,0,0,0,0,0,0,0,0
202506,1,94900,73,382,15256,0,10042,142,13820, , ,35048,3,6,3,Clay,0,0,0,0,0,0,0,0,0,0,0,0
202506,1,97000,5,385,15376,0,2829,999,21640,2, ,36016,3,6,5,Clayton,0,0,0,0,0,0,0,0,0,0,0,0
202506,1,99000,9,387,15472,0,1315,142,13820, , ,35049,3,6,5,Cleveland town,0,0,0,0,0,0,0,0,0,0,0,0
202506,1,106000,49,405,16600,0,1913,290,22840,2, ,35961,3,6,5,Collinsville,0,0,0,0,0,0,0,0,0,0,0,0
202506,1,109000,117,1010,16768,0,4682,142,13820, , ,35124,3,6,3,Columbiana,1,1,227000,0,0,0,0,0,0,0,0,0
202506,1,112000,51,418,17176,0,1315,388,33860, , ,36020,3,6,5,Coosada town,1,1,273526,0,0,0,0,0,0,0,0,0
202506,1,113000,127,420,17368,0,1820,142,13820,2, ,35550,3,6,5,Cordova town,0,0,0,0,0,0,0,0,0,0,0,0
202506,1,114000,69,425,17824,0,1247,222,20020, , ,36320,3,6,5,Cottonwood town,0,0,0,0,0,0,0,0,0,0,0,0
202506,1,116000,73,430,17968,0,56,142,13820,2, ,35172,3,6,5,County Line town,0,0,0,0,0,0,0,0,0,0,0,0
202506,1,119000,69,436,18088,0,2097,222,20020, , ,36321,3,6,3,Cowarts town,0,0,0,0,0,0,1,4,615150,0,0,0
202506,1,121000,97,438,18304,0,2032,380,33660,2, ,36525,3,6,5,Creola town,1,1,400000,0,0,0,0,0,0,0,0,0
202506,1,123000,119,445,18952,0,287,999,99999, , ,36907,3,6,5,Cuba town,0,0,0,0,0,0,0,0,0,0,0,0
202506,1,124000,43,450,18976,0,16564,142,18980, ,2,350560278,3,6,3,Cullman,3,3,323800,0,0,0,0,0,0,0,0,0
202506,1,126000,123,455,19336,0,3007,194,10760, , ,36853,3,6,5,Dadeville,0,0,0,0,0,0,0,0,0,0,0,0
202506,1,128000,45,460,19360,0,5095,222,37120, , ,36322,3,6,3,Daleville,0,0,0,0,0,0,0,0,0,0,0,0
202506,1,130000,3,465,19648,0,27719,380,19300, ,1,36526,3,6,3,Daphne,23,23,9430219,0,0,0,0,0,0,0,0,0
202506,1,131000,97,467,19744,0,1366,380,33660, , ,36528,3,6,3,Dauphin Island town,1,1,250000,0,0,0,0,0,0,0,0,0
202506,1,136000,103,480,20104,0,54268,290,19460,2,1,35601,3,6,3,Decatur,11,11,3350133,0,0,0,0,0,0,0,0,0
202506,1,137000,91,485,20296,0,6539,999,99999, , ,36732,3,6,5,Demopolis,0,0,0,0,0,0,0,0,0,0,0,0
202506,1,139000,127,495,21136,0,1979,142,13820, , ,35062,3,6,5,Dora,0,0,0,0,0,0,0,0,0,0,0,0
202506,1,141000,69,500,21184,0,68103,222,20020,2,1,36302,3,6,3,Dothan,8,8,3020381,0,0,0,0,0,0,0,0,0
202506,1,146000,53,515,22216,0,2326,999,99999, , ,36426,3,6,5,East Brewton,0,0,0,0,0,0,0,0,0,0,0,0
202506,1,147000,51,520,22816,0,1008,388,33860, , ,36024,3,6,5,Eclectic town,1,1,222806,0,0,0,0,0,0,0,0,0
202506,1,149000,31,530,23296,0,3919,222,21460, , ,36323,3,6,5,Elba,1,1,373667,0,0,0,0,0,0,0,0,0
202506,1,151000,127,537,23344,0,122,142,13820, , ,35554,3,6,5,Eldridge town,0,0,0,0,0,0,0,0,0,0,0,0
202506,1,153500,51,541,23656,0,1352,388,33860, , ,360250204,3,6,3,Elmore town,0,0,0,0,0,0,0,0,0,0,0,0
202506,1,155000,31,545,24184,0,28483,222,21460,2,2,363311000,3,6,5,Enterprise,10,10,2322852,0,0,0,0,0,0,1,5,809091
202506,1,161000,5,560,24568,0,11621,999,21640, ,2,360720219,3,6,3,Eufaula,0,0,0,0,0,0,0,0,0,0,0,0
202506,1,163000,63,570,24664,0,2558,999,46220,2, ,35462,3,6,5,Eutaw,0,0,0,0,0,0,0,0,0,0,0,0
202506,1,165000,35,575,24808,0,3467,999,99999, , ,36401,3,6,5,Evergreen,0,0,0,0,0,0,0,0,0,0,0,0
202506,1,166000,99,580,24880,0,619,999,99999, , ,36439,3,6,5,Excel town,0,0,0,0,0,0,0,0,0,0,0,0
202506,1,167000,73,590,25120,0,10457,142,13820, , ,35064,3,6,5,Fairfield,0,0,0,0,0,0,0,0,0,0,0,0
202506,1,168000,3,595,25240,0,23584,380,19300, ,1,36533,3,6,3,Fairhope,26,26,13746791,0,0,0,0,0,0,0,0,0
202506,1,170000,103,600,25648,0,1256,290,19460, , ,35622,3,6,5,Falkville town,0,0,0,0,0,0,0,0,0,0,0,0
202506,1,172000,57,610,25840,0,4249,999,99999, , ,35555,3,6,5,Fayette,0,0,0,0,0,0,0,0,0,0,0,0
202506,1,176000,53,630,26824,0,1377,999,99999, , ,36441,3,6,5,Flomaton town,0,0,0,0,0,0,0,0,0,0,0,0
202506,1,177000,39,635,26848,0,1891,999,99999, , ,36442,3,6,5,Florala town,1,1,142250,0,0,0,0,0,0,0,0,0
202506,1,178000,77,640,26896,0,41166,250,22520, ,1,35631,3,6,3,Florence,9,9,809063,1,2,200000,6,20,2066666,7,38,4760000
202506,1,179000,3,645,26992,0,21446,380,19300, ,1,36535,3,6,3,Foley,17,17,4761734,0,0,0,0,0,0,0,0,0
202506,1,181000,85,650,27520,0,1145,388,33860, , ,36032,3,6,5,Fort Deposit town,0,0,0,0,0,0,0,0,0,0,0,0
202506,1,182000,49,655,27616,0,14041,290,22840, ,2,359672052,3,6,3,Fort Payne,4,4,605000,0,0,0,0,0,0,0,0,0
202506,1,185000,99,660,28312,0,1123,999,99999, , ,36445,3,6,5,Frisco City town,0,0,0,0,0,0,0,0,0,0,0,0
202506,1,188000,73,675,28552,0,9269,142,13820, , ,35068,3,6,3,Fultondale,0,0,0,0,0,0,0,0,0,1,6,756110
202506,1,189000,49,680,28672,0,1076,290,22840, , ,35971,3,6,5,Fyffe town,0,0,0,0,0,0,0,0,0,0,0,0
202506,1,190000,55,685,28696,0,34816,999,23460, ,1,35902,3,6,3,Gadsden,4,4,936191,0,0,0,0,0,0,0,0,0
202506,1,195000,43,700,29032,0,506,142,18980,2, ,35070,3,6,5,Garden City town,0,0,0,0,0,0,0,0,0,0,0,0
202506,1,196000,73,705,29056,0,14113,142,13820, , ,35071,3,6,3,Gardendale,11,11,1434190,0,0,0,0,0,0,0,0,0
202506,1,199000,61,720,29464,0,4262,222,20020, , ,36340,3,6,5,Geneva,0,0,0,0,0,0,0,0,0,0,0,0
202506,1,201000,13,725,29560,0,1613,999,99999, , ,36033,3,6,5,Georgiana town,0,0,0,0,0,0,0,0,0,0,0,0
202506,1,207000,55,745,29992,0,5058,999,23460,2, ,35905,3,6,3,Glencoe,1,1,150000,0,0,0,0,0,0,0,0,0
202506,1,210000,43,752,30496,0,2393,142,18980, , ,35057,3,6,3,Good Hope,0,0,0,0,0,0,0,0,0,0,0,0
202506,1,211000,37,755,30640,0,1288,142,45180, , ,35072,3,6,5,Goodwater town,0,0,0,0,0,0,0,0,0,0,0,0
202506,1,212000,107,760,30736,0,1594,999,46220, , ,35466,3,6,5,Gordo town,0,0,0,0,0,0,0,0,0,0,0,0
202506,1,213000,69,765,30760,0,328,222,20020, , ,36343,3,6,5,Gordon town,0,0,0,0,0,0,0,0,0,0,0,0
202506,1,214000,109,770,30880,0,248,999,45980, , ,36035,3,6,5,Goshen town,0,0,0,0,0,0,0,0,0,0,0,0
202506,1,216000,73,780,31384,0,2066,142,13820, , ,350730130,3,6,5,Graysville,1,1,287588,0,0,0,0,0,0,0,0,0
202506,1,218000,65,785,31720,0,2265,999,46220, , ,367440077,3,6,5,Greensboro,0,0,0,0,0,0,0,0,0,0,0,0
202506,1,219000,13,790,31912,0,7349,999,99999, , ,36037,3,6,5,Greenville,0,0,0,0,0,0,0,0,0,0,0,0
202506,1,221000,25,800,32080,0,1709,999,99999, , ,36451,3,6,5,Grove Hill town,0,0,0,0,0,0,0,0,0,0,0,0
202506,1,223000,93,805,32224,0,2250,999,99999, , ,35563,3,6,5,Guin,0,0,0,0,0,0,0,0,0,0,0,0
202506,1,224000,3,810,32272,0,13166,380,19300, ,1,36542,3,6,5,Gulf Shores,12,12,6569040,0,0,0,0,0,0,0,0,0
202506,1,225000,95,815,32416,0,8676,290,10700, , ,35976,3,6,3,Guntersville,6,6,2369357,0,0,0,0,0,0,0,0,0
202506,1,226000,89,817,32440,0,820,290,26620, , ,35748,3,6,5,Gurley town,0,0,0,0,0,0,0,0,0,0,0,0
202506,1,231000,133,830,32704,0,4032,999,99999,2, ,35565,3,6,5,Haleyville,0,0,0,0,0,0,0,0,0,0,0,0
202506,1,233000,49,840,32896,0,485,290,22840, , ,359893809,3,6,5,Hammondville town,0,0,0,0,0,0,0,0,0,0,0,0
202506,1,234000,43,845,32968,0,3533,142,18980, , ,35077,3,6,5,Hanceville,1,1,158652,0,0,0,0,0,0,0,0,0
202506,1,235000,117,850,33256,0,1748,142,13820, , ,35078,3,6,5,Harpersville town,3,3,680402,0,0,0,0,0,0,0,0,0
